title,description,image,price,location,country
Cozy Apartment,A small yet cozy apartment in the city center.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,3000,Mumbai,India
Luxury Villa,A spacious villa with a private pool and garden.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,15000,Goa,India
Beach House,A beautiful house overlooking the beach.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,12000,Miami,USA
Mountain Cabin,A quiet cabin in the mountains.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,8000,Denver,USA
Downtown Studio,A modern studio in the heart of downtown.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,5000,New York,USA
Country Cottage,A charming cottage in the countryside.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,7000,Cotswolds,UK
Urban Loft,A trendy loft in a bustling urban area.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,6000,London,UK
Riverside Apartment,An apartment with a stunning view of the river.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,4000,Paris,France
Farmhouse,A rustic farmhouse surrounded by fields.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,5500,Napa Valley,USA
City Penthouse,A luxurious penthouse in the city center.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,25000,Los Angeles,USA
Villa by the Sea,A stunning villa with direct beach access.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,20000,Maldives,Maldives
Lake House,A cozy house by the lake with beautiful views.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,9500,Switzerland,Switzerland
Beachfront Condo,A modern condo right on the beach.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,18000,Bora Bora,French Polynesia
Chalet in the Alps,A charming chalet in the Swiss Alps.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,12000,Zermatt,Switzerland
Desert Retreat,A luxurious retreat in the desert.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,9500,Dubai,UAE
Historic Mansion,A grand mansion with historic charm.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,30000,Cape Town,South Africa
Island Villa,A luxurious villa on a private island.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,35000,Bora Bora,French Polynesia
Countryside Retreat,A peaceful retreat in the countryside.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,6000,Lake District,UK
Modern Apartment,A sleek and modern apartment in the city.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,8000,Berlin,Germany
Oceanfront Bungalow,A cozy bungalow right on the ocean.,https://global.discourse-cdn.com/business7/uploads/glideapps/original/2X/4/4936e0f28f79c8a2aa95582741091356d0ed61d8.jpeg,10000,Hawaii,USA
